"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary","income"
"1",0.38,0.53,2,157,3,0,1,0,"sales","low",36724
"2",0.8,0.86,5,262,6,0,1,0,"sales","medium",64256
"3",0.11,0.88,7,272,4,0,1,0,"sales","medium",67925
"4",0.72,0.87,5,223,5,0,1,0,"sales","low",26221
"5",0.37,0.52,2,159,3,0,1,0,"sales","low",38941
"6",0.41,0.5,2,153,3,0,1,0,"sales","low",36923
"7",0.1,0.77,6,247,4,0,1,0,"sales","low",22303
"8",0.92,0.85,5,259,5,0,1,0,"sales","low",26462
"9",0.89,1,5,224,5,0,1,0,"sales","low",25967
"10",0.42,0.53,2,142,3,0,1,0,"sales","low",38827
"11",0.45,0.54,2,135,3,0,1,0,"sales","low",39517
"12",0.11,0.81,6,305,4,0,1,0,"sales","low",39044
"13",0.84,0.92,4,234,5,0,1,0,"sales","low",36758
"14",0.41,0.55,2,148,3,0,1,0,"sales","low",35302
"15",0.36,0.56,2,137,3,0,1,0,"sales","low",24233
"16",0.38,0.54,2,143,3,0,1,0,"sales","low",35396
"17",0.45,0.47,2,160,3,0,1,0,"sales","low",34834
"18",0.78,0.99,4,255,6,0,1,0,"sales","low",39418
"19",0.45,0.51,2,160,3,1,1,1,"sales","low",31680
"20",0.76,0.89,5,262,5,0,1,0,"sales","low",39456
"21",0.11,0.83,6,282,4,0,1,0,"sales","low",36781
"22",0.38,0.55,2,147,3,0,1,0,"sales","low",29673
"23",0.09,0.95,6,304,4,0,1,0,"sales","low",36389
"24",0.46,0.57,2,139,3,0,1,0,"sales","low",25218
"25",0.4,0.53,2,158,3,0,1,0,"sales","low",37916
"26",0.89,0.92,5,242,5,0,1,0,"sales","low",23771
"27",0.82,0.87,4,239,5,0,1,0,"sales","low",39197
"28",0.4,0.49,2,135,3,0,1,0,"sales","low",31936
"29",0.41,0.46,2,128,3,0,1,0,"accounting","low",34912
"30",0.38,0.5,2,132,3,0,1,0,"accounting","low",33739
"31",0.09,0.62,6,294,4,0,1,0,"accounting","low",20663
"32",0.45,0.57,2,134,3,0,1,0,"hr","low",37486
"33",0.4,0.51,2,145,3,0,1,0,"hr","low",36674
"34",0.45,0.55,2,140,3,0,1,0,"hr","low",33534
"35",0.84,0.87,4,246,6,0,1,0,"hr","low",25414
"36",0.1,0.94,6,255,4,0,1,0,"technical","low",27731
"37",0.38,0.46,2,137,3,0,1,0,"technical","low",37960
"38",0.45,0.5,2,126,3,0,1,0,"technical","low",31843
"39",0.11,0.89,6,306,4,0,1,0,"technical","low",25610
"40",0.41,0.54,2,152,3,0,1,0,"technical","low",28576
"41",0.87,0.88,5,269,5,0,1,0,"technical","low",20279
"42",0.45,0.48,2,158,3,0,1,0,"technical","low",36168
"43",0.4,0.46,2,127,3,0,1,0,"technical","low",31308
"44",0.1,0.8,7,281,4,0,1,0,"technical","low",37341
"45",0.09,0.89,6,276,4,0,1,0,"technical","low",39627
"46",0.84,0.74,3,182,4,0,1,0,"technical","low",33719
"47",0.4,0.55,2,147,3,0,1,0,"support","low",33044
"48",0.57,0.7,3,273,6,0,1,0,"support","low",25491
"49",0.4,0.54,2,148,3,0,1,0,"support","low",31948
"50",0.43,0.47,2,147,3,0,1,0,"support","low",17882
"51",0.13,0.78,6,152,2,0,1,0,"support","low",37506
"52",0.44,0.55,2,135,3,0,1,0,"support","low",32690
"53",0.38,0.55,2,134,3,0,1,0,"support","low",39162
"54",0.39,0.54,2,132,3,0,1,0,"support","low",30511
"55",0.1,0.92,7,307,4,0,1,0,"support","low",25574
"56",0.37,0.46,2,140,3,0,1,0,"support","low",39251
"57",0.11,0.94,7,255,4,0,1,0,"support","low",39375
"58",0.1,0.81,6,309,4,0,1,0,"technical","low",31831
"59",0.38,0.54,2,128,3,0,1,0,"technical","low",38564
"60",0.85,1,4,225,5,0,1,0,"technical","low",35865
"61",0.85,0.91,5,226,5,0,1,0,"management","medium",49148
"62",0.11,0.93,7,308,4,0,1,0,"IT","medium",45646
"63",0.1,0.95,6,244,5,0,1,0,"IT","medium",45122
"64",0.36,0.56,2,132,3,0,1,0,"IT","medium",53944
"65",0.11,0.94,6,286,4,0,1,0,"IT","medium",59389
"66",0.81,0.7,6,161,4,0,1,0,"IT","medium",40357
"67",0.43,0.54,2,153,3,0,1,0,"product_mng","medium",55128
"68",0.9,0.98,4,264,6,0,1,0,"product_mng","medium",42744
"69",0.76,0.86,5,223,5,1,1,0,"product_mng","medium",62011
"70",0.43,0.5,2,135,3,0,1,0,"product_mng","medium",44890
"71",0.74,0.99,2,277,3,0,1,0,"IT","medium",52082
"72",0.09,0.77,5,275,4,0,1,0,"product_mng","medium",45630
"73",0.45,0.49,2,149,3,0,1,0,"product_mng","high",73364
"74",0.09,0.87,7,295,4,0,1,0,"product_mng","low",31363
"75",0.11,0.97,6,277,4,0,1,0,"product_mng","medium",46591
"76",0.11,0.79,7,306,4,0,1,0,"product_mng","medium",63478
"77",0.1,0.83,6,295,4,0,1,0,"product_mng","medium",58660
"78",0.4,0.54,2,137,3,0,1,0,"marketing","medium",53293
"79",0.43,0.56,2,157,3,0,1,0,"sales","low",28161
"80",0.39,0.56,2,142,3,0,1,0,"accounting","low",27637
"81",0.45,0.54,2,140,3,0,1,0,"support","low",35303
"82",0.38,0.49,2,151,3,0,1,0,"technical","low",19547
"83",0.79,0.59,4,139,3,0,1,1,"management","low",35492
"84",0.84,0.85,4,249,6,0,1,0,"marketing","low",27167
"85",0.11,0.77,6,291,4,0,1,0,"marketing","low",31387
"86",0.11,0.87,6,305,4,0,1,0,"marketing","low",32875
"87",0.17,0.84,5,232,3,0,1,0,"sales","low",15535
"88",0.44,0.45,2,132,3,0,1,0,"sales","low",33661
"89",0.37,0.57,2,130,3,0,1,0,"sales","low",36088
"90",0.1,0.79,6,291,4,0,1,0,"sales","low",37453
"91",0.4,0.5,2,130,3,0,1,0,"sales","low",39111
"92",0.89,1,5,246,5,0,1,0,"sales","low",34546
"93",0.42,0.48,2,143,3,0,1,0,"sales","low",39247
"94",0.46,0.55,2,129,3,0,1,0,"sales","low",23346
"95",0.09,0.83,6,255,4,0,1,0,"sales","low",37213
"96",0.37,0.51,2,155,3,0,1,0,"sales","low",28963
"97",0.1,0.77,6,265,4,0,1,0,"sales","low",39155
"98",0.1,0.84,6,279,4,0,1,0,"sales","low",25573
"99",0.11,0.97,6,284,4,0,1,0,"sales","low",32324
"100",0.9,1,5,221,6,0,1,0,"sales","medium",45338
"101",0.38,0.52,2,154,3,0,1,0,"sales","medium",40093
"102",0.36,0.52,2,147,3,0,1,0,"sales","medium",56960
"103",0.42,0.46,2,150,3,0,1,0,"sales","medium",48671
"104",0.09,0.94,7,267,4,0,1,0,"sales","medium",61879
"105",0.43,0.52,2,158,3,0,1,0,"sales","medium",42076
"106",0.24,0.46,7,224,5,0,1,0,"accounting","medium",48351
"107",0.91,1,4,257,5,0,1,0,"accounting","medium",49995
"108",0.44,0.5,2,148,3,0,1,0,"accounting","medium",52802
"109",0.71,0.87,3,177,4,0,1,0,"hr","medium",55645
"110",0.4,0.49,2,155,3,0,1,0,"hr","medium",50552
"111",0.43,0.47,2,144,3,0,1,0,"hr","medium",61267
"112",0.09,0.85,6,289,4,0,1,0,"hr","high",72287
"113",0.43,0.52,2,160,3,0,1,0,"technical","low",39909
"114",0.9,0.96,4,258,5,0,1,0,"technical","medium",56716
"115",0.84,1,5,234,5,0,1,0,"technical","medium",66655
"116",0.37,0.48,2,137,3,0,1,0,"technical","medium",60805
"117",0.86,0.68,5,263,2,0,1,0,"technical","medium",56957
"118",0.11,0.84,6,251,4,0,1,0,"technical","low",36744
"119",0.37,0.57,2,133,3,0,1,0,"technical","low",28218
"120",0.4,0.46,2,132,3,0,1,0,"technical","low",22620
"121",0.14,0.62,4,158,4,1,1,0,"technical","low",26827
"122",0.4,0.46,2,135,3,0,1,0,"technical","low",29662
"123",0.75,1,4,216,6,0,1,0,"technical","low",35789
"124",0.11,0.84,6,300,5,1,1,0,"support","low",33989
"125",0.46,0.49,2,138,3,0,1,0,"support","low",32972
"126",0.11,0.92,6,260,4,0,1,0,"support","low",25380
"127",0.38,0.49,2,132,3,0,1,0,"support","low",31707
"128",0.7,0.89,3,183,5,0,1,0,"support","low",31753
"129",0.09,0.82,6,250,4,0,1,0,"support","low",17804
"130",0.37,0.45,2,151,3,0,1,0,"support","low",29475
"131",0.1,0.83,6,292,4,0,1,0,"support","low",35022
"132",0.38,0.57,2,140,3,0,1,0,"support","low",38539
"133",0.9,1,5,221,5,0,1,0,"support","low",37578
"134",0.44,0.51,2,138,3,0,1,0,"support","low",39085
"135",0.36,0.5,2,132,3,0,1,0,"technical","low",34493
"136",0.31,0.84,7,133,5,0,1,0,"technical","low",22945
"137",0.1,0.84,6,283,4,1,1,0,"technical","low",39697
"138",0.42,0.48,2,129,3,0,1,0,"management","low",38981
"139",0.74,1,4,249,5,0,1,0,"IT","low",23205
"140",0.73,0.87,5,257,5,0,1,0,"IT","low",36529
"141",0.09,0.96,6,245,4,0,1,0,"IT","low",36784
"142",0.45,0.53,2,155,3,0,1,0,"IT","low",32699
"143",0.11,0.8,6,256,4,0,1,0,"IT","low",29787
"144",0.37,0.47,2,152,3,0,1,0,"product_mng","low",33760
"145",0.84,0.99,4,267,5,0,1,0,"product_mng","low",30151
"146",0.41,0.46,2,151,3,0,1,0,"product_mng","low",37490
"147",0.76,0.92,4,239,5,0,1,0,"product_mng","low",35747
"148",0.11,0.87,6,306,4,0,1,0,"IT","low",35941
"149",0.84,0.88,4,263,5,1,1,0,"marketing","low",33620
"150",0.39,0.5,2,147,3,0,1,0,"marketing","low",37167
"151",0.11,0.91,6,278,4,0,1,0,"marketing","low",27294
"152",0.45,0.56,2,154,3,0,1,0,"marketing","low",35875
"153",0.37,0.52,2,143,3,0,1,0,"marketing","low",38639
"154",0.4,0.52,2,155,3,0,1,0,"marketing","low",35167
"155",0.39,0.48,2,160,3,0,1,0,"sales","low",36926
"156",0.11,0.8,6,304,4,0,1,0,"accounting","low",27852
"157",0.83,1,5,240,5,0,1,0,"support","low",35517
"158",0.11,0.92,6,305,4,0,1,0,"technical","low",38540
"159",0.39,0.5,2,136,3,0,1,0,"management","low",36479
"160",0.45,0.45,2,132,3,0,1,0,"marketing","low",29820
"161",0.1,0.95,7,301,4,0,1,0,"marketing","low",28062
"162",0.9,0.98,5,243,6,0,1,0,"marketing","low",37319
"163",0.45,0.51,2,147,3,0,1,0,"sales","low",39076
"164",0.79,0.89,5,239,5,0,1,0,"sales","low",39983
"165",0.9,0.99,5,260,5,0,1,0,"sales","low",34758
"166",0.11,0.84,7,296,4,0,1,0,"sales","low",28186
"167",0.43,0.55,2,129,3,0,1,0,"sales","low",29863
"168",0.31,0.54,5,132,5,0,1,0,"sales","low",37721
"169",0.32,0.5,2,135,5,0,1,0,"sales","low",38201
"170",0.45,0.57,2,158,3,0,1,0,"sales","low",37761
"171",0.81,0.99,4,259,5,0,1,0,"sales","low",36396
"172",0.41,0.46,2,160,3,0,1,1,"sales","low",36984
"173",0.11,0.78,7,278,4,0,1,0,"sales","low",39515
"174",0.1,0.88,6,284,4,0,1,0,"sales","low",26733
"175",0.7,0.53,2,274,4,0,1,0,"sales","low",34689
"176",0.54,0.74,4,164,2,0,1,0,"sales","low",25601
"177",0.41,0.48,2,148,3,0,1,0,"sales","low",29464
"178",0.38,0.5,2,140,3,0,1,0,"sales","medium",47874
"179",0.37,0.51,2,127,3,0,1,0,"sales","medium",49400
"180",0.11,0.85,6,308,5,0,1,0,"sales","medium",52492
"181",0.4,0.47,2,146,3,0,1,0,"sales","medium",65682
"182",0.1,0.84,6,261,4,0,1,0,"accounting","medium",44951
"183",0.89,0.99,5,257,5,0,1,0,"accounting","medium",57249
"184",0.11,0.8,6,285,4,0,1,0,"accounting","medium",48378
"185",0.36,0.55,2,141,3,0,1,0,"hr","medium",46576
"186",0.4,0.46,2,127,3,0,1,0,"hr","medium",58989
"187",0.09,0.85,6,297,4,0,1,0,"hr","medium",54093
"188",0.4,0.46,2,143,3,0,1,0,"hr","medium",59916
"189",0.37,0.55,2,152,3,0,1,0,"technical","medium",42114
"190",0.44,0.51,2,156,3,0,1,0,"technical","high",72127
"191",0.09,0.8,7,283,5,0,1,0,"technical","low",27122
"192",0.92,0.87,4,226,6,1,1,0,"technical","medium",67768
"193",0.74,0.91,4,232,5,0,1,0,"technical","medium",61810
"194",0.09,0.82,6,249,4,0,1,0,"technical","medium",43428
"195",0.89,0.95,4,275,5,0,1,0,"technical","medium",61061
"196",0.09,0.8,6,304,4,0,1,0,"technical","low",39789
"197",0.27,0.54,7,278,3,0,1,0,"technical","low",36550
"198",0.1,0.91,6,287,4,0,1,0,"technical","low",33295
"199",0.1,0.89,7,285,4,0,1,0,"technical","low",29406
"200",0.77,0.94,5,226,6,0,1,0,"support","low",36160
"201",0.9,0.82,5,259,5,0,1,0,"support","low",37235
